Period,Receipts,Outlays,Deficit/Surplus (-),Borrowing from the Public,Reduction of Operating Cash,By Other Means,,,,,,
Sep-06,"283,298","r227,131","r-56,167",,,,,,,,,
Oct-06,"167,693","217,014","49,321",,,,,,,,,
Nov-06,"145,866","218,907","73,042",,,,,,,,,
Dec-06,"259,969","218,007","-41,961",,,,,,,,,
Jan-07,"260,609","222,372","-38,236",,,,,,,,,
Feb-07,"120,312","240,305","119,993",,,,,,,,,
Mar-07,"166,490","262,761","96,270",,,,,,,,,
Apr-07,"383,641","205,967","-177,674",,,,,,,,,
May-07,"164,239","231,937","67,699",,,,,,,,,
Jun-07,"276,517","249,036","-27,481",,,,,,,,,
Jul-07,"170,439","206,886","36,447",,,,,,,,,
Aug-07,"166,545","283,518","116,973",,,,,,,,,
Sep-07,"285,354","r172,488","r-112,866",,,,,,,,,
Oct-07,"178,175","r235,014","r56,838",,,,,,,,,
Nov-07,"151,055","249,293","98,238",,,,,,,,,
Dec-07,"276,982","228,721","-48,261",,,,,,,,,
Jan-08,"255,217","237,379","-17,839",,,,,,,,,
Feb-08,"105,723","281,287","175,563",,,,,,,,,
Mar-08,"178,816","227,028","48,212",,,,,,,,,
Apr-08,"403,751","244,469","-159,282",,,,,,,,,
May-08,"124,272","290,199","165,927",,,,,,,,,
Jun-08,"259,912","r226,365","r-33,547",,,,,,,,,
Jul-08,"160,494","263,261","102,767",,,,,,,,,
Aug-08,"157,016","268,930","111,914",,,,,,,,,
Sep-08,"r272,228","r226,494","r-45,734",,,,,,,,,
Oct-08,"r164,827","r320,360","r155,533",,,,,,,,,
Nov-08,"r144,769","r269,970","r125,201",,,,,,,,,
Dec-08,"r237,786","r289,540","r51,754",,,,,,,,,
Jan-09,"r226,090","r289,548","r63,457",,,,,,,,,
Feb-09,"r87,312","r281,171","r193,859",,,,,,,,,
Mar-09,"r128,926","r320,514","r191,589",,,,,,,,,
Apr-09,"r266,206","r287,113","r20,907",,,,,,,,,
May-09,"r117,217","r306,868","r189,651",,,,,,,,,
Jun-09,"r215,340","r309,671","r94,332",,,,,,,,,
Jul-09,"r151,481","r332,160","r180,680",,,,,,,,,
Aug-09,"r145,529","r249,084","r103,555",,,,,,,,,
Sep-09,"r218,880","r264,088","r45,207",,,,,,,,,
Oct-09,"r135,293","r311,656","r176,363",,,,,,,,,
Nov-09,"r133,563","r253,850","r120,287",,,,,,,,,
Dec-09,"218,919","r310,329","r91,410",,,,,,,,,
Jan-10,"r205,239","r247,873","42,634","-51,924","102,085","-7,527",,,,,,
Feb-10,"107,520","328,429","220,909","176,731","49,722","-5,544",,,,,,
Mar-10,"153,358","218,745","65,387","352,933","-176,714","-110,832",,,,,,
Apr-10,"r245,260","r327,950","82,689","143,469","-81,729","20,950",,,,,,
May-10,"r146,794","r282,721","135,927","60,088","78,369","-2,530",,,,,,
Jun-10,"251,048","319,470","68,422","140,932","-67,685","-4,824",,,,,,
Jul-10,"155,546","320,588","165,043","69,753","86,335","8,955",,,,,,
Aug-10,"163,998","254,524","90,526","222,985","-74,254","-58,205",,,,,,
Sep-10,"r245,207","r279,813","r34,607","97,373","-32,366","-30,514",,,,,,
Oct-10,"145,951","286,384","140,432","47,790","83,658","8,984",,,,,,
Nov-10,"r148,970","r299,364","150,394","205,633","-55,202",-37,,,,,,
Dec-10,"236,875","r315,009","r78,134","114,463","-61,351","26,884",,,,,,
Jan-11,"r226,550","r276,346","49,796","93,358","-6,412","-37,150",,,,,,
Feb-11,"110,656","r333,163","r222,507","80,031","158,527","-16,058",,,,,,
Mar-11,"150,894","r339,048","r188,154","86,821","72,557","28,775",,,,,,
Apr-11,"289,543","r329,929","r40,387","4,610","11,596","24,282",,,,,,
May-11,"r174,936","r232,577","57,641","68,143","-13,159","2,657",,,,,,
Jun-11,"249,658","292,738","43,080","19,948","-17,365","40,497",,,,,,
Jul-11,"159,063","288,439","129,376","15,877","69,808","43,691",,,,,,
Aug-11,"r169,246","r303,388","134,143","268,934","22,687","-157,469",,,,,,
Sep-11,"240,153","r302,903","r62,750","104,251","-13,601","-26,080",,,,,,
Oct-11,"163,072","261,539","98,466","132,149","-41,156","7,473",,,,,,
Nov-11,"152,402","289,704","137,302","134,758","11,641","-9,097",,,,,,
Dec-11,"239,963","325,930","85,967","59,058","1,868","25,041",,,,,,
Jan-12,"234,319","r261,726","r27,407","124,724","-72,859","-24,453",,,,,,
Feb-12,"103,413","r335,090","r231,677","150,351","96,053","-14,722",,,,,,
Mar-12,"171,215","r369,372","r198,157","123,237","19,062","55,858",,,,,,
Apr-12,"318,807","259,690","-59,117","70,178","-123,139","-6,156",,,,,,
May-12,"180,713","305,348","124,636","89,621","54,251","-19,236",,,,,,
Jun-12,"260,177","319,919","59,741","38,400","20,949",391,,,,,,
Jul-12,"184,585","254,190","69,604","80,903",935,"-12,233",,,,,,
Aug-12,"178,860","369,393","190,533","150,747","60,364","-20,577",,,,,,
Sep-12,"261,566","r186,386","r-75,180","-1,878","-55,325","-17,817",,,,,,
Oct-12,"184,316","304,311","119,995","142,335","-14,520","-7,820",,,,,,
Nov-12,"161,730","333,841","172,112","142,218","51,019","-21,125",,,,,,
Dec-12,"r269,508","r270,699","r1,191","29,338","-43,774","15,627",,,,,,
Jan-13,"272,225","r269,340","r-2,886","-20,938","-27,527","45,582",,,,,,
Feb-13,"122,815","326,354","203,539","261,952","38,497","-96,910",,,,,,
Mar-13,"186,018","292,548","106,530","95,355","2,599","8,576",,,,,,
Apr-13,"406,723","293,834","-112,889","27,899","-134,711","-6,077",,,,,,
May-13,"197,182","335,914","138,732","-46,263","179,182","5,814",,,,,,
Jun-13,"286,627","170,126","-116,501","1,107","-100,176","-17,432",,,,,,
Jul-13,"200,030","r297,627","97,597","12,220","25,165","60,210",,,,,,
Aug-13,"185,370","r333,275","r147,905","49,404","83,558","14,961",,,,,,
Sep-13,"r301,469","r226,355","-75,114","7,392","-62,251","-20,211",,,,,,
Oct-13,"198,927","r289,514","r90,586","204,141","5,385","-117,933",,,,,,
Nov-13,"182,453","317,679","135,226","93,153","49,568","-7,495",,,,,,
Dec-13,"285,041","231,821","-53,220","73,643","-128,966","2,102",,,,,,
Jan-14,"295,997","r306,247","r10,250","-48,518","73,826","-14,887",,,,,,
Feb-14,"144,349","337,880","193,532","183,562","42,544","-32,574",,,,,,
Mar-14,"215,846","r252,741","r36,895","126,952","-96,159","6,100",,,,,,
Apr-14,"414,237","307,383","-106,853","-115,417","-6,154","14,717",,,,,,
May-14,"199,889","329,860","129,971","34,692","119,449","-24,170",,,,,,
Jun-14,"323,646","253,127","-70,519","34,376","-110,406","5,511",,,,,,
Jul-14,"214,493","r309,113","r94,621","79,006","12,062","3,525",,,,,,
Aug-14,"194,248","322,925","128,677","80,884","78,573","-30,748",,,,,,
Sep-14,"r351,245","r245,441","r-105,803","51,099","-109,637","-47,272",,,,,,
Oct-14,"212,719","334,432","121,713","74,090","40,899","6,724",,,,,,
Nov-14,"191,436","248,254","56,818","64,849","9,132","-17,163",,,,,,
Dec-14,"335,327","r333,463","r-1,864","101,553","-115,182","11,761",,,,,,
Jan-15,"306,742","r321,738","14,996","-36,839","66,638","-12,255",,,,,,
Feb-15,"139,388","r331,747","192,359","88,293","121,885","-17,851",,,,,,
Mar-15,"234,187","287,105","52,918","15,315","-65,155","102,758",,,,,,
Apr-15,"471,801","r315,092","r-156,709","-36,024","-173,785","53,100",,,,,,
May-15,"212,386","r296,454","r84,068",545,"74,922","8,601",,,,,,
Jun-15,"342,933","r292,447","r-50,487","20,862","-55,393","-15,956",,,,,,
Jul-15,"225,493","374,680","149,187","58,193","44,358","46,636",,,,,,
Aug-15,"210,837","r275,248","r64,412","-16,187","78,195","2,412",,,,,,
Sep-15,"r365,451","r274,580","r-90,871","2,892","-66,929","-26,834",,,,,,
Oct-15,"211,046","r347,604","r136,558","-55,989","175,824","16,714",,,,,,
Nov-15,"204,968","r269,517","64,549","524,796","-230,381","-229,863",,,,,,
Dec-15,"349,631","364,075","14,444","83,393","-80,174","11,224",,,,,,
Jan-16,"313,579","258,416","-55,163","-14,755","-36,734","-3,674",,,,,,
Feb-16,"169,147","r361,757","r192,610","127,058","97,823","-32,269",,,,,,
Mar-16,"227,848","335,891","108,043","138,698","-41,476","10,820",,,,,,
Apr-16,"438,432","331,980","-106,452","-83,706","-25,256","2,511",,,,,,
May-16,"224,603","277,111","52,507","45,221","40,675","-33,388",,,,,,
Jun-16,"329,572","323,320","-6,252","46,080","-65,245","12,913",,,,,,
Jul-16,"209,998","r322,817","112,819","66,778","29,914","16,123",,,,,,
Aug-16,"231,327","338,438","107,112","105,761","44,802","-43,452",,,,,,
Sep-16,"356,623r","323,178","-33,445","68,480","-64,365","-37,474",,,,,,
Oct-16,"221,692","267,523","45,831","112,656","-68,256",-208,,,,,,
Nov-16,"199,875","r336,544","r136,669","156,727",-467,"-19,609",,,,,,
Dec-16,"319,204","r346,541","27,337","-10,115","22,844","14,787",,,,,,
Jan-17,"344,069","292,812","-51,257","-59,634","26,462","-18,086",,,,,,
Feb-17,"171,713","363,757","192,044","34,805","183,441","-26,201",,,,,,
Mar-17,"216,584","392,816","176,233","-43,262","97,081","122,413",,,,,,
Apr-17,"455,605","273,177","-182,428","-76,244","-180,380","74,196",,,,,,
May-17,"240,418","r328,841","88,423","5,134","82,754",538,,,,,,
Jun-17,"338,660","428,894","90,233","67,452","8,714","14,067",,,,,,
Jul-17,"232,040","274,980","42,939","-5,236","-7,906","56,082",,,,,,
Aug-17,"226,311","334,000","107,689","23,797","133,622","-49,731",,,,,,
